ID,min_year,max_year
700,1970,2016
701,1975,2016
702,1970,2016
703,2006,2016
704,1970,2016
705,1970,2016
706,1975,2016
707,1970,2016
708,1970,2016
709,1970,2016
710,1970,2016
711,1974,2016
712,1983,2016
713,1970,2016
714,1970,2016
715,1970,2016
716,1970,2016
717,1970,2016
718,1970,2016
719,2006,2016
720,1970,2016
721,1970,2016
722,1974,2016
723,1984,2003
724,1995,2016
725,1970,2016
726,2003,2015
727,1970,2016
728,1970,2016
729,1970,2016
730,1970,2016
731,1970,2016
732,1977,2016
733,2005,2015
734,1974,2016
735,1970,2016
736,2004,2016
737,1970,2016
738,2006,2016
739,1970,2016
740,1970,2016
741,1971,2016
742,1990,2016
743,2004,2016
744,2006,2016
745,2003,2005
746,2006,2016
747,1970,2016
748,1977,2016
749,1995,2016
750,1970,2016
751,1970,2016
752,1970,2016
753,1970,2016
754,1970,2016
755,1970,2016
756,1970,2016
757,1970,2016
758,1970,2016
759,1970,2016
760,1970,2016
761,1970,2016
762,1970,2016
763,1970,2016
764,1970,2016
765,2006,2016
766,1970,2016
767,1974,2016
768,1970,2016
769,1970,2016
770,1984,2003
771,1970,2016
772,1970,2016
773,1970,2016
774,1970,2016
775,1970,2016
776,1970,2016
777,1970,2016
778,1977,2016
779,1970,2016
780,1970,2016
781,1970,2016
782,1970,2016
783,1970,2016
784,1970,2016
785,1970,2016
786,1970,2016
787,1970,2016
788,1970,2016
789,1970,2016
790,1970,2016
791,1970,2016
792,1970,2016
793,1970,2016
794,1970,2016
795,1970,2016
796,1970,2016
797,1970,2016
798,1970,2016
799,1970,2016
800,1970,2016
801,1970,2016
802,1970,2016
803,1970,2016
804,1970,2016
805,1970,2016
806,1970,2016
807,1970,2016
808,1970,2016
809,1970,2016
810,1970,2016
811,1970,2016
812,1970,2016
813,1970,2016
814,1970,2016
815,1970,2016
816,1970,2016
817,1970,2016
818,1970,2016
819,1970,2016
820,1970,2016
821,1970,2016
822,1970,2016
823,1970,2016
824,1970,2016
825,1970,2016
826,1970,2016
827,1970,2016
828,1970,2016
829,1970,2016
830,1970,2016
831,1970,2016
832,1970,2016
833,1970,2016
834,1970,2016
835,1970,2016
836,1970,2016
837,1970,2016
838,1970,2016
839,1970,2016
840,1970,2016
841,1970,2016
842,1970,2016
843,1970,2016
844,1970,2016
845,1970,2016
846,1970,2016
847,1970,2016
848,1970,2016
849,1970,2016
850,1970,2016
851,1970,2016
852,1970,2016
853,1970,2016
854,1970,2016
855,1970,2016
856,1970,2016
857,1970,2016
858,1970,2016
859,1970,2016
860,1970,2016
861,1970,2016
862,1970,2016
863,1970,2016
864,1970,2016
865,1970,2016
866,1970,2016
867,1970,2016
868,1970,2016
869,1970,2016
870,1970,2016
871,1970,2016
872,1970,2016
873,1971,2016
874,1970,2016
875,1970,2016
876,1970,2016
877,1970,2016
878,1970,2016
879,1970,2016
880,1970,2016
881,1971,2016
882,1970,2016
883,1970,2016
884,1970,2016
885,1974,2016
886,1970,2016
887,1989,2016
888,1976,2016
889,1970,2016
890,1975,2016
891,1970,2016
892,1970,2016
893,1970,2016
894,1975,2016
895,1970,2016
896,1970,2016
897,1970,2016
898,1970,2016
899,1970,2016
900,1970,2016
901,1970,2016
902,1970,2016
903,1972,2016
904,1974,2016
905,1978,2016
906,1974,2016
907,1974,2016
908,1974,2016
909,1974,2016
910,1970,2016
911,1970,2016
912,1974,2016
913,1974,2016
914,1976,2016
915,1970,2016
916,1974,2016
917,1974,2016
918,1982,2016
919,1970,2016
920,1970,2016
921,1970,2016
922,1970,2016
923,1974,2016
924,1974,2016
925,1974,2016
926,1974,2016
927,1974,2016
928,1980,2016
929,1984,2016
930,2003,2015
931,1984,2016
932,1970,2016
933,1984,2016
934,2005,2015
935,1970,2016
936,1974,2016
937,1970,2016
938,1976,2016
939,1981,2016
940,1970,2016
941,1970,2016
942,1990,2016
943,1970,2016
944,1970,2016
945,1970,2016
946,1970,2016
947,1985,2016
948,1970,2016
949,1970,2016
950,1970,2016
951,1973,2016
952,1970,2016
953,1970,2016
954,1970,2016
955,1971,2016
956,1970,2016
957,1970,2016
958,1970,2016
959,1970,2016
960,1970,2016
961,1970,2016
962,1970,2016
963,1970,2016
964,1970,2016
965,1970,2016
966,1970,2016
967,2004,2016
968,1970,2016
969,1970,2016
970,1970,2016
971,1970,2016
972,1970,2016
973,1970,2016
974,1970,2016
975,1970,2016
976,1976,2016
977,2006,2016
978,1970,2016
979,1970,2016
980,1970,2016
981,1970,2016
982,1970,2016
983,1970,2016
984,1970,2016
985,1970,2016
986,1970,2016
987,1970,2016
988,1970,2016
989,1970,2016
990,1970,2016
991,1970,2016
992,1970,2016
993,1971,2016
994,1970,2016
995,1970,2016
996,1970,2016
997,1970,2016
998,1970,2016
999,1970,2016
1000,1970,2016
1001,1972,2016
1002,1970,2016
1003,1970,2016
1004,1970,2016
1005,1970,2016
1006,1970,2016
1007,1974,2016
1008,1970,2016
1009,1970,2016
1010,1970,2016
1011,1970,2016
1012,1970,2016
1013,1970,2016
1014,1990,2016
1015,1970,2016
1016,1970,2016
1017,1972,2016
1018,1970,2016
1019,1970,2016
1020,1970,2016
1021,1970,2016
1022,1970,2016
1023,1970,2016
1024,1970,2016
1025,2012,2015
1026,2004,2016
1027,1970,2016
1028,2012,2015
1029,1977,2014
1030,1996,2013
1031,1990,2014
1032,1970,2014
1033,1974,2014
1034,1970,2014
1035,1970,2014
1036,1970,2014
1037,1973,2014
1038,1970,2014
1039,1971,2003
1040,1973,2014
1041,1974,2014
1042,1970,2014
1043,1980,2014
1044,1975,2003
1045,1970,2014
1046,1993,2005
1047,1992,2004
1048,1992,2005
1049,1992,2005
1050,1992,2004
1051,1983,1986
1052,1986,1987
1053,1974,2006
1054,2002,2003
1055,1989,2006
1056,2004,2011
1057,1993,2005
1058,1993,2005
1059,1992,2005
1060,1992,1993
1061,1992,2005
1062,1992,2005
1063,1992,2005
1064,1992,2005
1065,1983,1986
1066,1993,2005
1067,1993,2005
1068,1992,2005
1069,1992,2005
1070,1992,2005
1071,1992,2004
1072,1992,2005
1073,1992,2005
1074,1983,1986
1075,1970,2014
1076,1970,2014
1077,2000,2001
1078,2000,2003
1079,1993,2005
1080,1993,2005
1081,1992,2005
1082,1992,2004
1083,1992,2005
1084,1992,2005
1085,1992,2005
1086,1992,2005
1087,1983,1986
1088,1997,2007
1089,1992,1993
1090,1992,1994
1091,1992,2004
1092,1999,2000
1093,1999,2000
1094,1983,1986
1095,1995,1998
1096,1995,1998
1097,1983,1986
1098,1988,2003
1099,1988,2001
1100,2000,2012
1101,1996,2012
1102,1970,2014
1103,1970,2014
1104,2007,2012
1105,1970,2016
1106,2005,2011
1107,1992,1999
1108,2006,2016
1109,2009,2013
1110,2012,2016
1111,2005,2013
1112,1998,2011
1113,2002,2010
1114,2002,2010
1115,2000,2013
1116,1995,2009
1117,1972,2013
1118,1981,2014
1119,1971,2014
1120,1980,2011
1121,2002,2016
1122,1970,2017
1123,1970,2017
1124,2005,2017
1125,2006,2016
1126,2007,2016
1127,2004,2014
1128,2006,2016
1129,2008,2012
1130,2013,2016
1131,1970,2014
1132,1994,2017
1133,2000,2001
1134,1985,2008
1135,1983,1993
1136,1990,1997
1137,1985,1997
1138,1983,1997
1139,1983,1997
1140,1985,1997
1141,1989,1997
1142,1983,1997
1143,1983,1997
1144,1987,1990
1145,1987,1990
1146,1987,1990
1147,1987,1990
1148,1987,1990
1149,1987,1990
1150,1987,1990
1151,1987,1990
1152,1987,1990
1153,1987,1990
1154,1987,1990
1155,1998,2001
1156,2014,2017
1157,1999,2018
1158,1971,2016
1159,1971,2016
1160,1973,2016
1161,1975,2007
1162,1971,2010
1163,1988,1998
1164,2009,2015
1165,1984,2012
1166,2006,2012
1167,1992,2012
1168,2003,2012
1169,1987,2012
1170,1965,1981
1171,2006,2015
1172,2008,2015
1173,2001,2015
