"","SpeciesSSet","Freq","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Acipenser_transmontanus_150","Acipenser_transmontanus_150",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.159506450974185,-0.113471489401969,-0.0591011361909077,-0.0277885594252861,0.00727399447640587,0.0974720550631135,0.230866583297811,0.325394231665419,0.360743577405915,0.336914620519294,0.253907361005568,0.119743563605062,-0.0210445232107932,-0.106323304898713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus_528","Acipenser_transmontanus_528",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.477121254719662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus_529","Acipenser_transmontanus_529",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681241237375587,-0.1249387366083,-0.213879819945081,0.435728569561437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus_530","Acipenser_transmontanus_530",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750999004340029,-0.212608092881444,-0.181843587944773,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus_531","Acipenser_transmontanus_531",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494850021680094,0.146128035678238,0.0469965626762236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actitis_macularius_883","Actitis_macularius_883",47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0136750148961445,-0.0122517146372012,-0.0100564720641488,-0.00834590098070614,-0.00718938810681657,-0.0059720579511543,-0.00470238371863349,-0.00339029420305975,-0.00341696870380723,-0.00344406628015897,-0.00486804356061596,-0.00705038993402596,-0.00788995985891061,-0.00951314913602916,-0.0104834792802245,-0.0107428140809666,-0.0118129081882434,-0.0113230300973909,-0.0116261679735777,-0.011081716571284,-0.00960288228856704,-0.00982002639352858,-0.0072839356360202,-0.00647522404781137,-0.00657323115273895,-0.00475683268015731,-0.00480951185378076,-0.00486337088870337,-0.00393029362843239,-0.00396618721760139,-0.00500921910785446,-0.00608834011042003,-0.00617490708401625,-0.00731680693316072,-0.00530280680791456,-0.00536835614074993,-0.00434298101078223,-0.00328597644722761,-0.00220454525103353,-0.00221579297955987,-0.00111215036936763,0,0.00111215036936763,0.00221579297955987,0.00549052169826114,0.00542197406742162,NA,NA,NA
"Aechmophorus_occidentalis_684","Aechmophorus_occidentalis_684",46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00826412535193155,-0.00967784449417231,-0.00994025461029846,-0.00675992217284271,-0.000874236619686108,0.00519906330891251,0.00994983253533643,0.0131574248857231,0.0143856410454117,0.0130089524013735,0.00975519286578397,0.00674418676742095,0.00543506266256299,0.00537561091220784,0.00529265384078181,0.00442832478488864,0.0022596897249989,-0.00199555442024657,-0.00834357960605603,-0.0148613781928839,-0.0187951434150397,-0.0190249472604074,-0.0167633083757108,-0.0138070660289915,-0.0109150121635806,-0.00804048958493597,-0.00512788957636001,-0.00196139519626559,0.00214051738202548,0.00757326114384727,0.0135595973665734,0.0187259601214484,0.0224838196968586,0.0251306327961855,0.0265704476818094,0.0258392631744147,0.0224202694787978,0.0174373775610328,0.0127917425104296,0.00926627620813392,0.00610247410856823,0.00244558174005105,-0.00139925439349131,-0.00435730918013588,-0.00577249828177306,NA,NA,NA
"Aegolius_acadicus_1","Aegolius_acadicus_1",47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00121888326118036,0.00441699914867533,0.00791908206533731,0.00795712037503282,0.00363976389587461,-0.00250347606893153,-0.00699255166883095,-0.00755611438099446,-0.00350478863042203,0.00461234029949187,0.0151478226868597,0.0257526564452906,0.034369342425279,0.0400517110074332,0.0428734789299745,0.0432733274372774,0.0415859768197335,0.0379432327745934,0.032384237427234,0.0251638834644362,0.0171293045434717,0.00972162809645333,0.00445280745129714,0.00232264960765383,0.00354231590418691,0.00737428402283996,0.012069777864736,0.0154666642022048,0.0162861060040674,0.0148807399895271,0.0124166341959431,0.00946515353754482,0.005812315647963,0.00144473077103272,-0.00303912746855314,-0.00713719867240598,-0.0107746050549884,-0.0135043596882721,-0.014138172910981,-0.0119466387096947,-0.00767732781777561,-0.00238551541181289,0.00431093027493046,0.0132686703144862,0.0228759352971263,0.0290169618106033,NA,NA,NA
"Aegolius_acadicus_2","Aegolius_acadicus_2",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00231164707758325,-0.0023116470775828,-0.00231164707758325,-0.00231164707758325,-0.00231164707758325,-0.00231164707758325,-0.00231164707758325,-0.0023116470775828,-0.00231164707758325,-0.00231164707758325,NA,NA,NA
"Aeronautes_saxatalis_1037","Aeronautes_saxatalis_1037",42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00156507855924282,-0.00156523360898075,-0.0015657366644225,-0.001566706064137,-0.00156806751338578,-0.00156967646075823,-0.00157149450503669,-0.00157360559061925,-0.00157611063460339,-0.00157909351513041,-0.00158267152947111,-0.00158694824982619,-0.0015918408167962,-0.00159704073426115,-0.0016022844814011,-0.00160768696789482,-0.00161372820100425,-0.00162087296999169,-0.00162925312007678,-0.00163876202585878,-0.0016494293602749,-0.00166166173516868,-0.00167609319577955,-0.00169311909987147,-0.00171243277474398,-0.00173298382542852,-0.00175357435339729,-0.00177370910319219,-0.00179382944984741,-0.00181449430974079,-0.00183526227249031,-0.00185457444590842,-0.00187090511137944,-0.00188392442679397,-0.00189435287311601,-0.00190276375126441,-0.00190883383471985,-0.00191191108821331,-0.00191215338676376,-0.00191089525824295,-0.0019098174305936,NA,NA,NA,NA,NA
"Agelaius_phoeniceus_882","Agelaius_phoeniceus_882",47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023398405773563,0.016987031781668,0.00800424661895405,0.00181993048486917,0.000105098417477745,0.000721639068112401,0.00150097246435599,0.0019789200400826,0.00192306617455151,0.00032887337835863,-0.0032815822892176,-0.00770771979044138,-0.0111857941961004,-0.0131487369975658,-0.0141580981263572,-0.0145421928208231,-0.0140371565105919,-0.0127596389325295,-0.0116696114962198,-0.0116205307717472,-0.0123328608435243,-0.0127312040607643,-0.0121814975489272,-0.0110681627654132,-0.0101081192357988,-0.00936265306886819,-0.00824548085092802,-0.00661462387556222,-0.00555522590168667,-0.00651867826293206,-0.00945415516011017,-0.0122032034052866,-0.0121931791977474,-0.00852297229434584,-0.00200219838386939,0.00634234990547866,0.0156690176610554,0.024166111138145,0.0289468410677192,0.0282665207865727,0.0232381045522803,0.0162011735114576,0.00787248131242158,-0.00225833479460635,-0.012655711119772,-0.0192172326971536,NA,NA,NA
"Agonopsis_vulsa_1109","Agonopsis_vulsa_1109",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.172421077472809,-0.172421077472809,0.226505340652013,0.226505340652013,NA,NA,NA,NA,NA,NA
"Agonopsis_vulsa_1110","Agonopsis_vulsa_1110",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0389441680572196,0.0389441680572196,0.0389441680572196,0.0389441680572196,NA,NA,NA
"Aix_sponsa_881","Aix_sponsa_881",46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0319839443950567,0.0348376195821993,0.0379014167352247,0.0385884752135661,0.0373363621650915,0.0360102784814922,0.0348728971414864,0.0328876536740186,0.0300622258714567,0.0276167936116165,0.0259870430392066,0.0242182801354449,0.0215939192960981,0.0186775496076512,0.0163537149275905,0.0147758166824854,0.0136904123845749,0.0129899403313658,0.0124351626655823,0.0114984636274285,0.0100520483521542,0.0087296992159196,0.00811155174373823,0.00799248747632753,0.00792736408250683,0.00802529385012551,0.00862979020416166,0.00961354329111419,0.0106197489682831,0.0116689986422998,0.0128487731454046,0.0136836008361039,0.0135859327738128,0.0127717601605433,0.0119309496700746,0.0110931939860617,0.00973248339415544,0.0080306956687739,0.00699627717164031,0.00701293449162765,0.00727916086811131,0.00721914407376545,0.00745456234640418,0.00854584197002684,0.00967231114104106,NA,NA,NA
"Albatrossia_pectoralis_10","Albatrossia_pectoralis_10",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,-0.167754327019097,-0.167754327019098,0.140481581969579,0.140481581969579,0.0812363257360964,0.0812363257360955,0.0812363257360955,0.0812363257360955,NA,NA,NA
"Albatrossia_pectoralis_3","Albatrossia_pectoralis_3",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224864943502639,0.224864943502639,0.224864943502639,0.224864943502639,-0.310487783531636,-0.310487783531636,NA,NA,NA,NA,NA,NA
"Albatrossia_pectoralis_4","Albatrossia_pectoralis_4",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123493290231013,0.123493290231013,0.123493290231013,0.123493290231013,-0.185861781413267,-0.185861781413267,0.107379429053624,0.107379429053624,-0.15356881375356,-0.15356881375356,-0.15356881375356,-0.15356881375356,NA,NA,NA
"Albatrossia_pectoralis_5","Albatrossia_pectoralis_5",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.974679404409857,0.83407050661442,-0.0851938144916065,-0.085193814491606,0.207757524049784,0.207757524049785,-0.358285825581765,-0.358285825581765,0.34716684880028,0.34716684880028,NA,NA,NA
