ID,Binomial,Species_record_status,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Red_list_category,Year_assessed,Criteria,ED_score,RL_ID,RL_binomial,Fishbase_ID,Fishbase_binomial
43,Kobus_ellipsiprymnus,Approved,Mammalia,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,NULL,"(Ogilby, 1833)",Waterbuck,LC,2016,NULL,12.0170600,11035,Kobus ellipsiprymnus,NULL,NULL
44,Kobus_kob,Approved,Mammalia,Artiodactyla,Bovidae,Kobus,kob,"","Erxleben, 1777",Kob,LC,2016,NULL,8.2574223,11036,Kobus kob,NULL,NULL
45,Loxodonta_africana,Approved,Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,"","(Blumenbach, 1797)",African elephant,VU,2008,A2a,37.3127961,12392,Loxodonta africana,NULL,NULL
46,Lycaon_pictus,Approved,Mammalia,Carnivora,Canidae,Lycaon,pictus,"","(Temminck, 1820)",African wild dog,EN,2012,C2a(i),3.8718321,12436,Lycaon pictus,NULL,NULL
47,Mastomys_natalensis,Approved,Mammalia,Rodentia,Muridae,Mastomys,natalensis,NULL,"(Smith, 1834)",African rat / Natal multimammate mouse,LC,2016,NULL,8.2145370,12868,Mastomys natalensis,NULL,NULL
48,Oryx_dammah,Approved,Mammalia,Artiodactyla,Bovidae,Oryx,dammah,"","Cretzschmar, 1827",Oryx,EW,2016,NULL,NULL,15568,Oryx dammah,NULL,NULL
49,Ourebia_ourebi,Approved,Mammalia,Artiodactyla,Bovidae,Ourebia,ourebi,NULL,"Zimmerman, 1783",Oribi,LC,2016,NULL,8.4723288,15730,Ourebia ourebi,NULL,NULL
50,Panthera_leo,Approved,Mammalia,Carnivora,Felidae,Panthera,leo,"","Linnaeus, 1758",African lion / Asiatic lion,VU,2014,A2abcd,8.2592266,15951,Panthera leo,NULL,NULL
51,Papio_hamadryas,Approved,Mammalia,Primates,Cercopithecidae,Papio,hamadryas,NULL,"(Linnaeus, 1758)",Baboon,LC,2008,NULL,5.7420066,16019,Papio hamadryas,NULL,NULL
52,Phacochoerus_africanus,Approved,Mammalia,Artiodactyla,Suidae,Phacochoerus,africanus,NULL,"Gmelin, 1788",Common warthog / Desert warthog,LC,2016,NULL,17.2210691,41768,Phacochoerus africanus,NULL,NULL
53,Piliocolobus_rufomitratus,Approved,Mammalia,Primates,Cercopithecidae,Piliocolobus,rufomitratus,"","Peters, 1879",Eastern red colobus / Tana River red colobus,EN,2008,"B1ab(iii,v)",7.4007002,136939,Piliocolobus rufomitratus,NULL,NULL
54,Piliocolobus_tephrosceles,Approved,Mammalia,Primates,Cercopithecidae,Piliocolobus,tephrosceles,"","Elliot, 1907",Ugandan red colobus,EN,2008,"B1ab(iii,v)",6.7543646,18256,Piliocolobus tephrosceles,NULL,NULL
55,Pteropus_livingstonii,Approved,Mammalia,Chiroptera,Pteropodidae,Pteropus,livingstonii,"","Gray, 1866",Livingstone's flying fox,CR,2016,A2c,6.1047171,18732,Pteropus livingstonii,NULL,NULL
56,Pteropus_rodricensis,Approved,Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,NULL,"Dobson, 1878",Rodrigues flying fox,EN,2016,B1ac(iv)+2ac(iv),5.5508303,18755,Pteropus rodricensis,NULL,NULL
57,Pteropus_voeltzkowi,Approved,Mammalia,Chiroptera,Pteropodidae,Pteropus,voeltzkowi,NULL,"Matschie, 1909",Pemba flying fox,VU,2014,D2,5.4031134,18768,Pteropus voeltzkowi,NULL,NULL
58,Redunca_fulvorufula,Approved,Mammalia,Artiodactyla,Bovidae,Redunca,fulvorufula,NULL,"Afzelius, 1815",Mountain reedbuck / Western mountain reedbuck,EN,2016,A2ad,10.1243901,19391,Redunca fulvorufula,NULL,NULL
59,Redunca_redunca,Approved,Mammalia,Artiodactyla,Bovidae,Redunca,redunca,"","Pallas, 1767",Bohar reedbuck / Bohor reedbuck,LC,2016,NULL,9.6076801,19392,Redunca redunca,NULL,NULL
60,Sylvicapra_grimmia,Approved,Mammalia,Artiodactyla,Bovidae,Sylvicapra,grimmia,NULL,"Linnaeus, 1758",Common duiker / Grey duiker,LC,2016,NULL,7.1000398,21203,Sylvicapra grimmia,NULL,NULL
61,Syncerus_caffer,Approved,Mammalia,Artiodactyla,Bovidae,Syncerus,caffer,NULL,"Sparrman, 1779",African buffalo / Cape buffalo,NT,2018,A4abcde,10.6257933,21251,Syncerus caffer,NULL,NULL
62,Taurotragus_derbianus,Approved,Mammalia,Artiodactyla,Bovidae,Taurotragus,derbianus,derbianus,"Gray, 1847",Giant eland / Derby's eland,VU,2016,C1,8.5402421,44172,Tragelaphus derbianus,NULL,NULL
63,Taurotragus_oryx,Approved,Mammalia,Artiodactyla,Bovidae,Taurotragus,oryx,"","Pallas, 1766",Common eland / Eland,LC,2016,NULL,8.5346933,22055,Tragelaphus oryx,NULL,NULL
64,Tragelaphus_angasii,Approved,Mammalia,Artiodactyla,Bovidae,Tragelaphus,angasii,NULL,"Angas, 1849",Nyala,LC,2016,NULL,9.3923965,22052,Tragelaphus angasii,NULL,NULL
65,Tragelaphus_buxtoni,Approved,Mammalia,Artiodactyla,Bovidae,Tragelaphus,buxtoni,NULL,"Lydekker, 1910",Mountain nayala,EN,2016,C1,9.3219811,22046,Tragelaphus buxtoni,NULL,NULL
66,Tragelaphus_scriptus,Approved,Mammalia,Artiodactyla,Bovidae,Tragelaphus,scriptus,"","Pallas, 1766",Bushbuck,LC,2016,NULL,9.7297777,22051,Tragelaphus scriptus,NULL,NULL
67,Tragelaphus_spekii,Approved,Mammalia,Artiodactyla,Bovidae,Tragelaphus,spekii,NULL,"Speke, 1863",Sitatunga,LC,2016,NULL,9.0871605,22050,Tragelaphus spekii,NULL,NULL
68,Tragelaphus_strepsiceros,Approved,Mammalia,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,NULL,"Pallas, 1766",Greater kudu,LC,2016,NULL,9.2040284,22054,Tragelaphus strepsiceros,NULL,NULL
69,Casarea_dussumieri,Approved,Reptilia,Squamata,Bolyeriidae,Casarea,dussumieri,NULL,"(Schlegel, 1837)",Round Island boa / Round Island keel-scaled boa,EN,1996,D,51.4392358,3989,Casarea dussumieri,NULL,NULL
70,Leiolopisma_telfairii,Approved,Reptilia,Squamata,Scincidae,Leiolopisma,telfairii,NULL,"(Desjardin, 1831)",Mccann's ground skink / Round Island skink,VU,1996,D2,9.5427716,11409,Leiolopisma telfairii,NULL,NULL
71,Nactus_serpensinsula,Approved,Reptilia,Squamata,Gekkonidae,Nactus,serpensinsula,"","(Loveridge, 1951)",Serpent Island gecko,VU,1996,D2,14.7065036,14290,Nactus serpensinsula,NULL,NULL
72,Phelsuma_guentheri,Approved,Reptilia,Squamata,Gekkonidae,Phelsuma,guentheri,NULL,"Boulenger, 1885",Round Island day gecko,EN,1996,D,17.7265860,16926,Phelsuma guentheri,NULL,NULL
73,Phelsuma_ornata,Approved,Reptilia,Squamata,Gekkonidae,Phelsuma,ornata,NULL,"Gray, 1825",Mauritius ornate day gecko / Ornate day gecko,NT,2010,NULL,17.1008637,172662,Cnemaspis ornata,NULL,NULL
74,Gongylomorphus_bojerii,Approved,Reptilia,Squamata,Scincidae,Gongylomorphus,bojerii,NULL,"(Desjardin, 1831)",Bojer's skink,CR,2015,A2abce,24.2864851,62251,Gongylomorphus bojerii,NULL,NULL
75,Apteryx_australis,Approved,Aves,Struthioniformes,Apterygidae,Apteryx,australis,"","Shaw, 1813",Southern brown kiwi,VU,2016,A2be+3be+4be,14.8758700,22678122,Apteryx australis,NULL,NULL
76,Apteryx_haastii,Approved,Aves,Struthioniformes,Apterygidae,Apteryx,haastii,"","Potts, 1872",Great spotted kiwi,VU,2016,A2e,15.4455600,22678132,Apteryx haastii,NULL,NULL
