sample,System,Year,LPI_final,CI_high,CI_low
80,Global,1987,0.67599306906895,0.646957595276995,0.646957595276995
80,Global,1988,0.651572396449304,0.620856335380496,0.620856335380496
80,Global,1989,0.641959474172014,0.609856614946671,0.609856614946671
80,Global,1990,0.656442631359396,0.615222291049322,0.615222291049322
80,Global,1991,0.660489710636612,0.597099598748033,0.597099598748033
80,Global,1992,0.647699311627155,0.583457987120688,0.583457987120688
80,Global,1993,0.64356872125897,0.5772220254616,0.5772220254616
80,Global,1994,0.614849452322781,0.546471655190441,0.546471655190441
80,Global,1995,0.601564648203486,0.537573137705011,0.537573137705011
80,Global,1996,0.579041889798309,0.522529747068038,0.522529747068038
80,Global,1997,0.559382653958465,0.509726588824856,0.509726588824856
80,Global,1998,0.535097469372185,0.490620761036454,0.490620761036454
80,Global,1999,0.513900321202748,0.475606552271229,0.475606552271229
80,Global,2000,0.497733331358182,0.464603234437547,0.464603234437547
80,Global,2001,0.488119885086032,0.452986306198357,0.452986306198357
80,Global,2002,0.478411959325462,0.433828898150908,0.433828898150908
80,Global,2003,0.47820726628048,0.429764302458318,0.429764302458318
80,Global,2004,0.464926488138329,0.426444647864822,0.426444647864822
80,Global,2005,0.442748515347692,0.406705014596078,0.406705014596078
80,Global,2006,0.436818498862194,0.391023589977031,0.391023589977031
80,Global,2007,0.42429905421082,0.380891570373044,0.380891570373044
80,Global,2008,0.410855048397647,0.36921791302042,0.36921791302042
80,Global,2009,0.392643451282901,0.359388949375689,0.359388949375689
80,Global,2010,0.382609906776724,0.353271986992009,0.353271986992009
80,Global,2011,0.348003489268277,0.335224949401307,0.335224949401307
80,Global,2012,0.334556054699014,0.321432498179006,0.321432498179006
80,Global,2013,0.326829749182542,0.318935452841643,0.318935452841643
80,Global,2014,0.320829606003827,0.316530634925749,0.316530634925749
80,Global,2015,0.338921910815032,0.328676113651861,0.328676113651861
80,Global,2016,0.340824045034818,0.321540752839258,0.321540752839258
81,Global,1970,1,1,1
81,Global,1971,1.00639110263002,0.979758827787722,0.979758827787722
81,Global,1972,1.01348317871242,0.971385790032527,0.971385790032527
81,Global,1973,0.988736253131463,0.954288754326971,0.954288754326971
81,Global,1974,0.975171948589921,0.938241139049362,0.938241139049362
81,Global,1975,0.99230221267424,0.933993178770404,0.933993178770404
81,Global,1976,0.978593304672185,0.908488682722145,0.908488682722145
81,Global,1977,0.964408398447597,0.880997526961841,0.880997526961841
81,Global,1978,0.937012937264392,0.847765146859123,0.847765146859123
81,Global,1979,0.906914026023228,0.829937922151802,0.829937922151802
81,Global,1980,0.852146295754823,0.802970402120339,0.802970402120339
81,Global,1981,0.818242396542365,0.778337852049175,0.778337852049175
81,Global,1982,0.780095009321435,0.753284663245717,0.753284663245717
81,Global,1983,0.74862581988261,0.726691770061832,0.726691770061832
81,Global,1984,0.714132504301783,0.69707352696729,0.69707352696729
81,Global,1985,0.68786120861235,0.681136316769705,0.681136316769705
81,Global,1986,0.676361383079709,0.668384810535002,0.668384810535002
81,Global,1987,0.662070188806694,0.646957595276995,0.646957595276995
81,Global,1988,0.644365925886745,0.620856335380496,0.620856335380496
81,Global,1989,0.630514398686338,0.609856614946671,0.609856614946671
81,Global,1990,0.630417567617376,0.615222291049322,0.615222291049322
81,Global,1991,0.604848417281122,0.597099598748033,0.597099598748033
81,Global,1992,0.588951727421582,0.583457987120688,0.583457987120688
81,Global,1993,0.585580275867753,0.5772220254616,0.5772220254616
81,Global,1994,0.563121338767912,0.546471655190441,0.546471655190441
81,Global,1995,0.5517977399959,0.537573137705011,0.537573137705011
81,Global,1996,0.540044760975096,0.522529747068038,0.522529747068038
81,Global,1997,0.516119056506914,0.509726588824856,0.509726588824856
81,Global,1998,0.494513261818055,0.490620761036454,0.490620761036454
81,Global,1999,0.480857292351138,0.475606552271229,0.475606552271229
81,Global,2000,0.47142200854033,0.464603234437547,0.464603234437547
81,Global,2001,0.464361673874853,0.452986306198357,0.452986306198357
81,Global,2002,0.452072367521375,0.433828898150908,0.433828898150908
81,Global,2003,0.446934437010932,0.429764302458318,0.429764302458318
81,Global,2004,0.44418661562988,0.426444647864822,0.426444647864822
81,Global,2005,0.417133508047138,0.406705014596078,0.406705014596078
81,Global,2006,0.40470259404017,0.391023589977031,0.391023589977031
81,Global,2007,0.39314826267802,0.380891570373044,0.380891570373044
81,Global,2008,0.385683087941209,0.36921791302042,0.36921791302042
81,Global,2009,0.378961046562178,0.359388949375689,0.359388949375689
81,Global,2010,0.374734858241091,0.353271986992009,0.353271986992009
81,Global,2011,0.366042710166906,0.335224949401307,0.335224949401307
81,Global,2012,0.347402520658368,0.321432498179006,0.321432498179006
81,Global,2013,0.344046745306252,0.318935452841643,0.318935452841643
81,Global,2014,0.331839209926374,0.316530634925749,0.316530634925749
81,Global,2015,0.338080867851721,0.328676113651861,0.328676113651861
81,Global,2016,0.339806570770837,0.321540752839258,0.321540752839258
82,Global,1970,1,1,1
82,Global,1971,1.02613889481347,0.979758827787722,0.979758827787722
82,Global,1972,1.03693925482327,0.971385790032527,0.971385790032527
82,Global,1973,1.01051285161073,0.954288754326971,0.954288754326971
82,Global,1974,0.9934745153537,0.938241139049362,0.938241139049362
82,Global,1975,0.99179421836338,0.933993178770404,0.933993178770404
82,Global,1976,0.959979643606367,0.908488682722145,0.908488682722145
82,Global,1977,0.93136180672689,0.880997526961841,0.880997526961841
82,Global,1978,0.893168857851911,0.847765146859123,0.847765146859123
82,Global,1979,0.869396261447453,0.829937922151802,0.829937922151802
82,Global,1980,0.833481400736298,0.802970402120339,0.802970402120339
82,Global,1981,0.828940477714001,0.778337852049175,0.778337852049175
82,Global,1982,0.797254395654417,0.753284663245717,0.753284663245717
82,Global,1983,0.756456090621985,0.726691770061832,0.726691770061832
82,Global,1984,0.732685793633062,0.69707352696729,0.69707352696729
82,Global,1985,0.713770661845259,0.681136316769705,0.681136316769705
82,Global,1986,0.697454597740882,0.668384810535002,0.668384810535002
82,Global,1987,0.672663301563362,0.646957595276995,0.646957595276995
82,Global,1988,0.63421374967787,0.620856335380496,0.620856335380496
82,Global,1989,0.619041162547485,0.609856614946671,0.609856614946671
82,Global,1990,0.617833663876028,0.615222291049322,0.615222291049322
82,Global,1991,0.611800228975326,0.597099598748033,0.597099598748033
82,Global,1992,0.602630977207934,0.583457987120688,0.583457987120688
82,Global,1993,0.600246379567347,0.5772220254616,0.5772220254616
82,Global,1994,0.569134728286705,0.546471655190441,0.546471655190441
82,Global,1995,0.559043963221992,0.537573137705011,0.537573137705011
82,Global,1996,0.537631122041508,0.522529747068038,0.522529747068038
82,Global,1997,0.524241963791666,0.509726588824856,0.509726588824856
82,Global,1998,0.50352444484719,0.490620761036454,0.490620761036454
82,Global,1999,0.490128524392497,0.475606552271229,0.475606552271229
82,Global,2000,0.473785967526826,0.464603234437547,0.464603234437547
82,Global,2001,0.46416298754074,0.452986306198357,0.452986306198357
82,Global,2002,0.436564218223405,0.433828898150908,0.433828898150908
82,Global,2003,0.433244525651923,0.429764302458318,0.429764302458318
82,Global,2004,0.415027348859906,0.426444647864822,0.426444647864822
82,Global,2005,0.386280299587533,0.406705014596078,0.406705014596078
82,Global,2006,0.366133454537509,0.391023589977031,0.391023589977031
82,Global,2007,0.348723749351024,0.380891570373044,0.380891570373044
82,Global,2008,0.324468673925743,0.36921791302042,0.36921791302042
82,Global,2009,0.315732058653878,0.359388949375689,0.359388949375689
82,Global,2010,0.316360567578475,0.353271986992009,0.353271986992009
82,Global,2011,0.295521920823297,0.335224949401307,0.335224949401307
82,Global,2012,0.283408308948031,0.321432498179006,0.321432498179006
82,Global,2013,0.282639725416751,0.318935452841643,0.318935452841643
82,Global,2014,0.302586199901641,0.316530634925749,0.316530634925749
82,Global,2015,0.3267079439177,0.328676113651861,0.328676113651861
82,Global,2016,0.316698057155787,0.321540752839258,0.321540752839258
83,Global,1970,1,1,1
83,Global,1971,1.02697729393082,0.979758827787722,0.979758827787722
83,Global,1972,1.01363341458121,0.971385790032527,0.971385790032527
83,Global,1973,0.987098661874035,0.954288754326971,0.954288754326971
83,Global,1974,0.956340227244963,0.938241139049362,0.938241139049362
83,Global,1975,0.980739488374993,0.933993178770404,0.933993178770404
83,Global,1976,0.966145549057245,0.908488682722145,0.908488682722145
83,Global,1977,0.936515263389287,0.880997526961841,0.880997526961841
83,Global,1978,0.900884815980576,0.847765146859123,0.847765146859123
83,Global,1979,0.876156478863571,0.829937922151802,0.829937922151802
83,Global,1980,0.843588810556892,0.802970402120339,0.802970402120339
83,Global,1981,0.815937482669551,0.778337852049175,0.778337852049175
83,Global,1982,0.794679867243494,0.753284663245717,0.753284663245717
83,Global,1983,0.768326865792033,0.726691770061832,0.726691770061832
83,Global,1984,0.744573735431514,0.69707352696729,0.69707352696729
83,Global,1985,0.732136410077576,0.681136316769705,0.681136316769705
83,Global,1986,0.7181925514125,0.668384810535002,0.668384810535002
83,Global,1987,0.694100556707886,0.646957595276995,0.646957595276995
83,Global,1988,0.659828239375805,0.620856335380496,0.620856335380496
83,Global,1989,0.652462256046038,0.609856614946671,0.609856614946671
83,Global,1990,0.664447475355889,0.615222291049322,0.615222291049322
83,Global,1991,0.651293339319525,0.597099598748033,0.597099598748033
83,Global,1992,0.635744293845515,0.583457987120688,0.583457987120688
83,Global,1993,0.636483558718407,0.5772220254616,0.5772220254616
83,Global,1994,0.598171055842756,0.546471655190441,0.546471655190441
83,Global,1995,0.589980784261979,0.537573137705011,0.537573137705011
83,Global,1996,0.57321189591299,0.522529747068038,0.522529747068038
83,Global,1997,0.558700558753519,0.509726588824856,0.509726588824856
83,Global,1998,0.530003335135728,0.490620761036454,0.490620761036454
83,Global,1999,0.520471344850916,0.475606552271229,0.475606552271229
83,Global,2000,0.50775679066708,0.464603234437547,0.464603234437547
83,Global,2001,0.497211576628677,0.452986306198357,0.452986306198357
83,Global,2002,0.456393419765448,0.433828898150908,0.433828898150908
83,Global,2003,0.454378516003704,0.429764302458318,0.429764302458318
83,Global,2004,0.456774158428665,0.426444647864822,0.426444647864822
83,Global,2005,0.440270351188687,0.406705014596078,0.406705014596078
83,Global,2006,0.416126277081338,0.391023589977031,0.391023589977031
83,Global,2007,0.410126963034137,0.380891570373044,0.380891570373044
83,Global,2008,0.395043269027834,0.36921791302042,0.36921791302042
83,Global,2009,0.381415490093171,0.359388949375689,0.359388949375689
83,Global,2010,0.37093015571937,0.353271986992009,0.353271986992009
83,Global,2011,0.34448447128708,0.335224949401307,0.335224949401307
83,Global,2012,0.339874159152799,0.321432498179006,0.321432498179006
83,Global,2013,0.33596400276146,0.318935452841643,0.318935452841643
83,Global,2014,0.32071878970459,0.316530634925749,0.316530634925749
83,Global,2015,0.310137593271622,0.328676113651861,0.328676113651861
83,Global,2016,0.298395498094445,0.321540752839258,0.321540752839258
84,Global,1970,1,1,1
84,Global,1971,0.974235661701732,0.979758827787722,0.979758827787722
84,Global,1972,0.975825452963554,0.971385790032527,0.971385790032527
84,Global,1973,0.963961157442108,0.954288754326971,0.954288754326971
84,Global,1974,0.959377807534137,0.938241139049362,0.938241139049362
84,Global,1975,0.963695460545093,0.933993178770404,0.933993178770404
84,Global,1976,0.943846785020808,0.908488682722145,0.908488682722145
84,Global,1977,0.912997531080277,0.880997526961841,0.880997526961841
84,Global,1978,0.875736544213225,0.847765146859123,0.847765146859123
84,Global,1979,0.847480734619237,0.829937922151802,0.829937922151802
84,Global,1980,0.827080916922132,0.802970402120339,0.802970402120339
84,Global,1981,0.804177252034144,0.778337852049175,0.778337852049175
84,Global,1982,0.78685969272677,0.753284663245717,0.753284663245717
84,Global,1983,0.766183869202418,0.726691770061832,0.726691770061832
84,Global,1984,0.751273476712369,0.69707352696729,0.69707352696729
84,Global,1985,0.753656427372083,0.681136316769705,0.681136316769705
84,Global,1986,0.743949744315356,0.668384810535002,0.668384810535002
84,Global,1987,0.715580225264012,0.646957595276995,0.646957595276995
84,Global,1988,0.691062813964866,0.620856335380496,0.620856335380496
84,Global,1989,0.691169631833921,0.609856614946671,0.609856614946671
84,Global,1990,0.699597749255855,0.615222291049322,0.615222291049322
84,Global,1991,0.669977333303455,0.597099598748033,0.597099598748033
84,Global,1992,0.648111896737141,0.583457987120688,0.583457987120688
84,Global,1993,0.634346376503356,0.5772220254616,0.5772220254616
84,Global,1994,0.606124426437587,0.546471655190441,0.546471655190441
84,Global,1995,0.589383562208691,0.537573137705011,0.537573137705011
84,Global,1996,0.575502898549182,0.522529747068038,0.522529747068038
84,Global,1997,0.563850503886347,0.509726588824856,0.509726588824856
84,Global,1998,0.545125342002666,0.490620761036454,0.490620761036454
84,Global,1999,0.53668048333045,0.475606552271229,0.475606552271229
